[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Factory configuration, Owner=User, Creation date=8/31/2022 1:38:38 PM"
Comment - 2,"Goniometer=HR HD (Theta/2Theta); Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=MRD XL Cradle; Minimum step size Phi:0.01; Minimum step size Chi:0.01; Minimum step size X:0.01; Minimum step size Y:0.01; Minimum step size Z:0.001"
Comment - 4,"Diffractometer system=XPERT-3"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\pont focus-gonio-5 to 120.xrdmp, Created identifier={B8FC9330-C50C-4AAC-9BFA684BB9D7}, Created by=user, Id=WL:DESKTOP-E66BUER:User, Creation date=2/28/2025 12:48:04 PM"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.10mm
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,28/Feb/2025 12:49
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,5.001200002,119.999967528
Scan step size,0.0225091
No. of points, 5109
Scan type,CONTINUOUS
Phi,0.00
Psi,0.00
X,27.00
Y,40.50
Z,18.742
Time per step,34.935
[Scan points]
Angle, TimePerStep, Intensity, ESD
5.012454530, 34.935, 86.0, 9.2736
5.034963586, 34.935, 129.0, 11.3578
5.057472642, 34.935, 89.0, 9.4340
5.079981698, 34.935, 94.0, 9.6954
5.102490754, 34.935, 112.0, 10.5830
5.124999810, 34.935, 94.0, 9.6954
5.147508866, 34.935, 96.0, 9.7980
5.170017923, 34.935, 99.0, 9.9499
5.192526979, 34.935, 99.0, 9.9499
5.215036035, 34.935, 64.0, 8.0000
5.237545091, 34.935, 103.0, 10.1489
5.260054147, 34.935, 81.0, 9.0000
5.282563203, 34.935, 129.0, 11.3578
5.305072259, 34.935, 76.0, 8.7178
5.327581315, 34.935, 96.0, 9.7980
5.350090371, 34.935, 91.0, 9.5394
5.372599427, 34.935, 73.0, 8.5440
5.395108483, 34.935, 93.0, 9.6437
5.417617539, 34.935, 74.0, 8.6023
5.440126596, 34.935, 96.0, 9.7980
5.462635652, 34.935, 85.0, 9.2195
5.485144708, 34.935, 96.0, 9.7980
5.507653764, 34.935, 93.0, 9.6437
5.530162820, 34.935, 83.0, 9.1104
5.552671876, 34.935, 66.0, 8.1240
5.575180932, 34.935, 93.0, 9.6437
5.597689988, 34.935, 76.0, 8.7178
5.620199044, 34.935, 105.0, 10.2470
5.642708100, 34.935, 100.0, 10.0000
5.665217156, 34.935, 100.0, 10.0000
5.687726212, 34.935, 96.0, 9.7980
5.710235269, 34.935, 81.0, 9.0000
5.732744325, 34.935, 100.0, 10.0000
5.755253381, 34.935, 73.0, 8.5440
5.777762437, 34.935, 77.0, 8.7750
5.800271493, 34.935, 84.0, 9.1652
5.822780549, 34.935, 76.0, 8.7178
5.845289605, 34.935, 95.0, 9.7468
5.867798661, 34.935, 92.0, 9.5917
5.890307717, 34.935, 87.0, 9.3274
5.912816773, 34.935, 99.0, 9.9499
5.935325829, 34.935, 85.0, 9.2195
5.957834885, 34.935, 81.0, 9.0000
5.980343942, 34.935, 80.0, 8.9443
