file,data_block,crystal_name,space_group_crystal_system,space_group_IT_number,space_group_name_HM_alt,space_group_name_Hall,cell_length_a,cell_length_b,cell_length_c,cell_angle_alpha,cell_angle_beta,cell_angle_gamma,cell_measurement_temperature,cell_length_a,cell_length_b,cell_length_c,,,,,,,,,
3PB_CTE_100K.cif,test_1,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.4395,19.7151,11.2153,90,90,90,100,7.4395,19.7151,11.2153,,,,,,,,,
3PB_CTE_120K.cif,3pb_cte_120k,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.4526,19.7381,11.2089,90,90,90,120,7.4526,19.7381,11.2089,,,,,,,,,
3PB_CTE_140K.cif,3pb_cte_140k,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.4663,19.739,11.2202,90,90,90,140,7.4663,19.739,11.2202,,,,,,,,,
3PB_CTE_160K.cif,3pb_cte_160k,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.4962,19.7714,11.2398,90,90,90,160,7.4962,19.7714,11.2398,,,,,,,,,
3PB_CTE_200.cif,pbe_cte_01_200_00,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.5308,19.781,11.2615,90,90,90,200,7.5308,19.781,11.2615,,,,,,,,,
3PB_CTE_220.cif,pbe_cte_02_220_00,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.5659,19.8276,11.2936,90,90,90,220,7.5659,19.8276,11.2936,,,,,,,,,
3PB_CTE_300.cif,pbe_cte_06_300_00,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.6355,19.8104,11.2946,90,90,90,300,7.6355,19.8104,11.2946,,,,,,,,,
3PB_CTE_400.cif,pbe_cte_11_400_00,None,'orthorhombic',33,'P n a 21','P 2c -2n',7.7181,19.7976,11.2778,90,90,90,400,7.7181,19.7976,11.2778,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,experiment,simulation,
,,,,,,,,,,,,,,,,,,,,b,0.0003,19.714,15.21761185,14.14,7.08%
,,,,,,,,,,,,,,,,,,,,c,0.0003,11.195,26.79767753,25.08,6.41%
,,,,,,,,,,,,,,,,,,,,a,0.001,7.341,136.2212233,154.5,-13.42%
